Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Simi Fehoko,WR,Stanford,"6'3""",222,,,,4.44,,34.5,"10'0""",16,6.78,4.26
Stevie Scott,RB,Indiana,"6'0""",225,,,,4.66,,31,"9'11""",18,7.14,4.57
Tamorrion Terry,WR,Florida St.,"6'2""",207,,,,4.44,,32.5,"10'6""",15,7,4.53
Tarik Black,WR,Texas,"6'2""",213,,,,4.54,,40,"11'0""",15,6.91,4.26
Terrace Marshall Jr.,WR,LSU,"6'2""",205,,,,4.4,,39,"10'5""",19,,
Tommy Tremble,TE,Notre Dame,"6'3""",241,,,,4.6,,36.5,"10'2""",20,,
Travis Etienne,RB,Clemson,"5'10""",215,,,,4.45,,33.5,"10'8""",18,,
Tre Nixon,WR,Central Florida,"6'0""",187,,,,4.44,,35.5,"10'5""",18,6.81,4.27
Tre Walker,WR,San Jose St.,"5'10""",178,,,,4.58,,28,"9'5""",,7.75,4.47
Tre' McKitty,TE,Georgia,"6'4""",247,,,,,,,,,,
Trevon Grimes,WR,Florida,"6'4""",220,,,,4.49,,35,"9'10""",15,6.98,4.28
Trevor Lawrence,QB,Clemson,"6'5""",213,,,,,,,,,,
Trey Lance,QB,North Dakota St.,"6'3""",224,,,,,,,,,,
Trey Ragas,RB,Louisiana,"5'10""",214,,,,4.6,,33.5,"9'9""",23,7.19,4.5
Trey Sermon,RB,Ohio St.,"6'0""",215,,,,4.57,,37,"10'5""",,6.83,4.28
Tutu Atwell,WR,Louisville,"5'8""",155,,,,4.42,,33,"9'9""",,6.89,4.14
Tylan Wallace,WR,Oklahoma St.,"5'11""",194,,,,4.48,,33,"9'4""",11,6.97,4.25
Tyler Vaughns,WR,USC,"6'1""",190,,,,4.62,,31.5,"10'0""",7,7.13,4.36
Warren Jackson,WR,Colorado St.,"6'6""",219,,,,4.68,,33.5,"10'3""",,7.81,4.53
Whop Philyor,WR,Indiana,"5'9""",184,,,,4.57,,31,"10'0""",14,7.2,4.34
Zac Thomas,QB,Appalachian St.,"6'0""",205,,,,4.59,,30,"9'7""",,7.06,4.28
Zach Davidson,TE,Central Missouri St.,"6'6""",245,,,,4.58,,37.5,"9'9""",17,6.95,4.19
Zach Smith,QB,Tulsa,"6'3""",222,,,,5.23,,29.5,"9'3""",,7.26,4.52
Zach Wilson,QB,BYU,"6'2""",214,,,,,,,,,,
